Country	date	total	cum	increment	double1	double2	double3	double7
Albania	2020-03-28	2	10	0	10	10	10	10
Albania	2020-03-29	0	10	1	20	14.142135623731	12.5992104989487	11.0408951367381
Albania	2020-03-30	1	11	2	40	20	15.874010519682	12.1901365420448
Albania	2020-03-31	4	15	3	80	28.2842712474619	20	13.4590019263236
Algeria	2020-03-20	2	11	0	10	10	10	10
Algeria	2020-03-21	4	15	1	20	14.142135623731	12.5992104989487	11.0408951367381
Algeria	2020-03-22	2	17	2	40	20	15.874010519682	12.1901365420448
Algeria	2020-03-23	0	17	3	80	28.2842712474619	20	13.4590019263236
Algeria	2020-03-24	2	19	4	160	40	25.1984209978975	14.8599428913695
Algeria	2020-03-25	2	21	5	320	56.5685424949238	31.748021039364	16.4067071201528
Algeria	2020-03-26	4	25	6	640	80	40	18.1144732852781
Algeria	2020-03-27	1	26	7	1280	113.137084989848	50.3968419957949	20
Algeria	2020-03-28	3	29	8	2560	160	63.496042078728	22.0817902734762
Algeria	2020-03-29	2	31	9	5120	226.274169979695	80	24.3802730840895
Algeria	2020-03-30	4	35	10	10240	320	100.79368399159	26.9180038526471
Algeria	2020-03-31	9	44	11	20480	452.548339959391	126.992084157456	29.7198857827389
Andorra	2020-03-31	4	12	0	10	10	10	10
Argentina	2020-03-27	4	13	0	10	10	10	10
Argentina	2020-03-28	5	18	1	20	14.142135623731	12.5992104989487	11.0408951367381
Argentina	2020-03-29	1	19	2	40	20	15.874010519682	12.1901365420448
Argentina	2020-03-30	4	23	3	80	28.2842712474619	20	13.4590019263236
Argentina	2020-03-31	4	27	4	160	40	25.1984209978975	14.8599428913695
Australia	2020-03-26	5	13	0	10	10	10	10
Australia	2020-03-27	0	13	1	20	14.142135623731	12.5992104989487	11.0408951367381
Australia	2020-03-28	1	14	2	40	20	15.874010519682	12.1901365420448
Australia	2020-03-29	2	16	3	80	28.2842712474619	20	13.4590019263236
Australia	2020-03-30	1	17	4	160	40	25.1984209978975	14.8599428913695
Australia	2020-03-31	1	18	5	320	56.5685424949238	31.748021039364	16.4067071201528
Austria	2020-03-22	8	16	0	10	10	10	10
Austria	2020-03-23	5	21	1	20	14.142135623731	12.5992104989487	11.0408951367381
Austria	2020-03-24	7	28	2	40	20	15.874010519682	12.1901365420448
Austria	2020-03-25	2	30	3	80	28.2842712474619	20	13.4590019263236
Austria	2020-03-26	19	49	4	160	40	25.1984209978975	14.8599428913695
Austria	2020-03-27	9	58	5	320	56.5685424949238	31.748021039364	16.4067071201528
Austria	2020-03-28	10	68	6	640	80	40	18.1144732852781
Austria	2020-03-29	18	86	7	1280	113.137084989848	50.3968419957949	20
Austria	2020-03-30	22	108	8	2560	160	63.496042078728	22.0817902734762
Austria	2020-03-31	20	128	9	5120	226.274169979695	80	24.3802730840895
Belgium	2020-03-17	5	10	0	10	10	10	10
Belgium	2020-03-18	4	14	1	20	14.142135623731	12.5992104989487	11.0408951367381
Belgium	2020-03-19	7	21	2	40	20	15.874010519682	12.1901365420448
Belgium	2020-03-20	16	37	3	80	28.2842712474619	20	13.4590019263236
Belgium	2020-03-21	30	67	4	160	40	25.1984209978975	14.8599428913695
Belgium	2020-03-22	8	75	5	320	56.5685424949238	31.748021039364	16.4067071201528
Belgium	2020-03-23	13	88	6	640	80	40	18.1144732852781
Belgium	2020-03-24	34	122	7	1280	113.137084989848	50.3968419957949	20
Belgium	2020-03-25	56	178	8	2560	160	63.496042078728	22.0817902734762
Belgium	2020-03-26	42	220	9	5120	226.274169979695	80	24.3802730840895
Belgium	2020-03-27	69	289	10	10240	320	100.79368399159	26.9180038526471
Belgium	2020-03-28	64	353	11	20480	452.548339959391	126.992084157456	29.7198857827389
Belgium	2020-03-29	78	431	12	40960	640.000000000001	160	32.8134142403055
Belgium	2020-03-30	82	513	13	81920	905.096679918782	201.58736798318	36.2289465705562
Belgium	2020-03-31	192	705	14	163840	1280	253.984168314912	40
Bosnia and Herzegovina	2020-03-30	4	10	0	10	10	10	10
Bosnia and Herzegovina	2020-03-31	3	13	1	20	14.142135623731	12.5992104989487	11.0408951367381
Brazil	2020-03-20	5	11	0	10	10	10	10
Brazil	2020-03-21	4	15	1	20	14.142135623731	12.5992104989487	11.0408951367381
Brazil	2020-03-22	10	25	2	40	20	15.874010519682	12.1901365420448
Brazil	2020-03-23	9	34	3	80	28.2842712474619	20	13.4590019263236
Brazil	2020-03-24	12	46	4	160	40	25.1984209978975	14.8599428913695
Brazil	2020-03-25	13	59	5	320	56.5685424949238	31.748021039364	16.4067071201528
Brazil	2020-03-26	18	77	6	640	80	40	18.1144732852781
Brazil	2020-03-27	15	92	7	1280	113.137084989848	50.3968419957949	20
Brazil	2020-03-28	19	111	8	2560	160	63.496042078728	22.0817902734762
Brazil	2020-03-29	25	136	9	5120	226.274169979695	80	24.3802730840895
Brazil	2020-03-30	23	159	10	10240	320	100.79368399159	26.9180038526471
Brazil	2020-03-31	42	201	11	20480	452.548339959391	126.992084157456	29.7198857827389
Burkina Faso	2020-03-28	2	11	0	10	10	10	10
Burkina Faso	2020-03-29	1	12	1	20	14.142135623731	12.5992104989487	11.0408951367381
Burkina Faso	2020-03-30	0	12	2	40	20	15.874010519682	12.1901365420448
