Country	type	value	lat	long
United States	confirmed	243453	37.0902	-95.7129
Italy	confirmed	115242	43	12
Spain	confirmed	112065	40	-4
Germany	confirmed	84794	51	9
China	confirmed	82432	32.8283848484848	111.649081818182
France	confirmed	59105	46.2276	2.2137
Iran	confirmed	50468	32	53
United Kingdom	confirmed	33718	55.3781	-3.436
Switzerland	confirmed	18827	46.8182	8.2275
Turkey	confirmed	18135	38.9637	35.2433
Belgium	confirmed	15348	50.8333	4
Netherlands	confirmed	14697	52.1326	5.2913
Canada	confirmed	11284	44.7840466666667	-82.5085933333333
Austria	confirmed	11129	47.5162	14.5501
Korea	confirmed	9976	36	128
Portugal	confirmed	9034	39.3999	-8.2245
Brazil	confirmed	8044	-14.235	-51.9253
Israel	confirmed	6857	31	35
Sweden	confirmed	5568	63	16
Norway	confirmed	5147	60.472	8.4689
Australia	confirmed	5116	-31.9961875	141.2327875
Czech Republic	confirmed	3858	49.8175	15.473
Ireland	confirmed	3849	53.1424	-7.6921
Russia	confirmed	3548	60	90
Chile	confirmed	3404	-35.6751	-71.543
Denmark	confirmed	3386	56.2639	9.5018
Ecuador	confirmed	3163	-1.8312	-78.1834
Malaysia	confirmed	3116	2.5	112.5
Poland	confirmed	2946	51.9194	19.1451
Romania	confirmed	2738	45.9432	24.9668
Philippines	confirmed	2633	13	122
India	confirmed	2543	21	78
Japan	confirmed	2495	36	138
Luxembourg	confirmed	2487	49.8153	6.1296
Pakistan	confirmed	2421	30.3753	69.3451
Saudi Arabia	confirmed	1885	24	45
Thailand	confirmed	1875	15	101
Indonesia	confirmed	1790	-0.7893	113.9213
Greece	confirmed	1544	39.0742	21.8243
Finland	confirmed	1518	64	26
South Africa	confirmed	1462	-30.5595	22.9375
Peru	confirmed	1414	-9.19	-75.0152
Dominican Republic	confirmed	1380	18.7357	-70.1627
Mexico	confirmed	1378	23.6345	-102.5528
Iceland	confirmed	1319	64.9631	-19.0208
Panama	confirmed	1317	8.538	-80.7821
Serbia	confirmed	1171	44.0165	21.0059
Colombia	confirmed	1161	4.5709	-74.2973
Argentina	confirmed	1133	-38.4161	-63.6167
Singapore	confirmed	1049	1.2833	103.8333
United Arab Emirates	confirmed	1024	24	54
Croatia	confirmed	1011	45.1	15.2
Algeria	confirmed	986	28.0339	1.6596
Qatar	confirmed	949	25.3548	51.1839
Slovenia	confirmed	897	46.1512	14.9955
Ukraine	confirmed	897	48.3794	31.1656
Egypt	confirmed	865	26	30
Estonia	confirmed	858	58.5953	25.0136
New Zealand	confirmed	797	-40.9006	174.886
Iraq	confirmed	772	33	44
Diamond Princess	confirmed	712	0	0
Morocco	confirmed	708	31.7917	-7.0926
Armenia	confirmed	663	40.0691	45.0382
Lithuania	confirmed	649	55.1694	23.8813
Bahrain	confirmed	643	26.0275	50.55
Hungary	confirmed	585	47.1625	19.5033
Bosnia and Herzegovina	confirmed	533	43.9159	17.6791
Moldova	confirmed	505	47.4116	28.3699
Lebanon	confirmed	494	33.8547	35.8623
Latvia	confirmed	458	56.8796	24.6032
Bulgaria	confirmed	457	42.7339	25.4858
Tunisia	confirmed	455	34	9
Kazakhstan	confirmed	435	48.0196	66.9237
Andorra	confirmed	428	42.5063	1.5218
Slovak Republic	confirmed	426	48.669	19.699
Azerbaijan	confirmed	400	40.1431	47.5769
Costa Rica	confirmed	396	9.7489	-83.7534
North Macedonia	confirmed	384	41.6086	21.7453
Cyprus	confirmed	356	35.1264	33.4299
Uruguay	confirmed	350	-32.5228	-55.7658
Kuwait	confirmed	342	29.5	47.75
Chinese Taipei	confirmed	339	23.7	121
France - Reunion	confirmed	308	-21.1351	55.2471
Cameroon	confirmed	306	3.848	11.5021
Belarus	confirmed	304	53.7098	27.9534
Jordan	confirmed	299	31.24	36.51
Burkina Faso	confirmed	288	12.2383	-1.5616
Albania	confirmed	277	41.1533	20.1683
Afghanistan	confirmed	273	33	65
San Marino	confirmed	245	43.9424	12.4578
Cuba	confirmed	233	22	-80
Vietnam	confirmed	233	16	108
Oman	confirmed	231	21	57
Honduras	confirmed	219	15.2	-86.2419
Uzbekistan	confirmed	205	41.3775	64.5853
Ghana	confirmed	204	7.9465	-1.0232
Malta	confirmed	196	35.9375	14.3754
Senegal	confirmed	195	14.4974	-14.4524
Cote d'Ivoire	confirmed	194	7.54	-5.5471
United Kingdom - Channel Islands	confirmed	193	49.3723	-2.3644
Nigeria	confirmed	184	9.082	8.6753
Denmark - Faroe Islands	confirmed	177	61.8926	-6.9118
