Country	type	value	lat	long
United States	death	66369	37.0902	-95.7129
Italy	death	28710	43	12
United Kingdom	death	28131	55.3781	-3.436
Spain	death	25100	40	-4
France	death	24729	46.2276	2.2137
Belgium	death	7765	50.8333	4
Germany	death	6812	51	9
Brazil	death	6761	-14.235	-51.9253
Iran	death	6156	32	53
Netherlands	death	4987	52.1326	5.2913
China	death	4637	32.8283848484848	111.649081818182
Canada	death	3684	44.7840466666667	-82.5085933333333
Turkey	death	3336	38.9637	35.2433
Sweden	death	2669	63	16
Mexico	death	2061	23.6345	-102.5528
Switzerland	death	1762	46.8182	8.2275
Ecuador	death	1371	-1.8312	-78.1834
India	death	1323	21	78
Ireland	death	1286	53.1424	-7.6921
Russia	death	1222	60	90
Peru	death	1200	-9.19	-75.0152
Portugal	death	1023	39.3999	-8.2245
Indonesia	death	831	-0.7893	113.9213
Romania	death	771	45.9432	24.9668
Poland	death	664	51.9194	19.1451
Philippines	death	603	13	122
Austria	death	596	47.5162	14.5501
Denmark	death	475	56.2639	9.5018
Japan	death	474	36	138
Algeria	death	459	28.0339	1.6596
Pakistan	death	440	30.3753	69.3451
Egypt	death	415	26	30
Hungary	death	335	47.1625	19.5033
Dominican Republic	death	326	18.7357	-70.1627
Colombia	death	324	4.5709	-74.2973
Ukraine	death	279	48.3794	31.1656
Korea	death	250	36	128
Chile	death	247	-35.6751	-71.543
Czech Republic	death	245	49.8175	15.473
Argentina	death	237	-38.4161	-63.6167
Israel	death	229	31	35
Finland	death	220	64	26
Norway	death	211	60.472	8.4689
Panama	death	197	8.538	-80.7821
Serbia	death	189	44.0165	21.0059
Saudi Arabia	death	176	24	45
Bangladesh	death	175	23.685	90.3563
Morocco	death	173	31.7917	-7.0926
Greece	death	143	39.0742	21.8243
Moldova	death	124	47.4116	28.3699
South Africa	death	123	-30.5595	22.9375
United Arab Emirates	death	119	24	54
Malaysia	death	103	2.5	112.5
Belarus	death	97	53.7098	27.9534
Iraq	death	95	33	44
Australia	death	94	-31.9961875	141.2327875
Slovenia	death	94	46.1512	14.9955
Luxembourg	death	92	49.8153	6.1296
Nigeria	death	85	9.082	8.6753
North Macedonia	death	82	41.6086	21.7453
Croatia	death	77	45.1	15.2
Honduras	death	76	15.2	-86.2419
Afghanistan	death	72	33	65
Bosnia and Herzegovina	death	72	43.9159	17.6791
Bulgaria	death	72	42.7339	25.4858
Bolivia	death	66	-16.2902	-63.5887
Cuba	death	66	22	-80
Cameroon	death	64	3.848	11.5021
Thailand	death	54	15	101
Estonia	death	53	58.5953	25.0136
Lithuania	death	46	55.1694	23.8813
Andorra	death	44	42.5063	1.5218
Burkina Faso	death	44	12.2383	-1.5616
Tunisia	death	42	34	9
San Marino	death	41	43.9424	12.4578
Sudan	death	41	12.8628	30.2176
United Kingdom - Channel Islands	death	41	49.3723	-2.3644
Niger	death	35	17.6078	8.0817
Armenia	death	33	40.0691	45.0382
Congo (Kinshasa)	death	33	-4.0383	21.7587
Kuwait	death	33	29.5	47.75
Albania	death	31	41.1533	20.1683
